epoch,train_loss,val_loss,best_val_loss,best_val_epoch,early_stop_epoch,test_accuracy_pct
1,1.9706,1.9355,1.4200,25,35,50.92
2,1.6742,1.7338,1.4200,25,35,50.92
3,1.5694,1.6845,1.4200,25,35,50.92
4,1.5004,2.1536,1.4200,25,35,50.92
5,1.4485,1.8488,1.4200,25,35,50.92
6,1.4001,1.7793,1.4200,25,35,50.92
7,1.3679,1.5851,1.4200,25,35,50.92
8,1.3258,1.5275,1.4200,25,35,50.92
9,1.2925,1.7718,1.4200,25,35,50.92
10,1.2546,2.0533,1.4200,25,35,50.92
11,1.2308,1.5422,1.4200,25,35,50.92
12,1.1927,1.5477,1.4200,25,35,50.92
13,1.1715,1.5424,1.4200,25,35,50.92
14,1.1391,1.5845,1.4200,25,35,50.92
15,1.1150,1.5504,1.4200,25,35,50.92
16,1.0870,1.4494,1.4200,25,35,50.92
17,1.0686,1.4899,1.4200,25,35,50.92
18,1.0413,1.5524,1.4200,25,35,50.92
19,1.0238,1.4977,1.4200,25,35,50.92
20,1.0035,1.4295,1.4200,25,35,50.92
21,0.9790,1.5842,1.4200,25,35,50.92
22,0.9709,1.7531,1.4200,25,35,50.92
23,0.9419,2.3678,1.4200,25,35,50.92
24,0.9420,1.5943,1.4200,25,35,50.92
25,0.9136,1.4200,1.4200,25,35,50.92
26,0.8885,1.5855,1.4200,25,35,50.92
27,0.8850,1.7007,1.4200,25,35,50.92
28,0.8566,1.4922,1.4200,25,35,50.92
29,0.8445,1.7450,1.4200,25,35,50.92
30,0.8393,1.4813,1.4200,25,35,50.92
31,0.8151,1.5352,1.4200,25,35,50.92
32,0.7959,1.5231,1.4200,25,35,50.92
33,0.7908,1.6213,1.4200,25,35,50.92
34,0.7753,1.7193,1.4200,25,35,50.92
35,0.7637,1.6998,1.4200,25,35,50.92
